Aug 17, 2019 14:27:33.181010000 CEST;Host=192.168.43.101;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=10&switchcmd=Off&rssi=10 HTTP/1.1 ;;session=55
Aug 17, 2019 14:27:33.210079000 CEST;Host=192.168.43.76;Dest=192.168.43.101;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=55
Aug 17, 2019 14:27:33.235215000 CEST;Host=192.168.43.102;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=2&switchcmd=Off&rssi=7 HTTP/1.1 ;;session=56
Aug 17, 2019 14:27:33.261853000 CEST;Host=192.168.43.76;Dest=192.168.43.102;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=56
Aug 17, 2019 14:27:33.268644000 CEST;Host=192.168.43.124;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=11&switchcmd=Off&rssi=4 HTTP/1.1 ;;session=57
Aug 17, 2019 14:27:33.298042000 CEST;Host=192.168.43.76;Dest=192.168.43.124;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=57
Aug 17, 2019 14:27:38.479922000 CEST;Host=192.168.43.76;Dest=192.168.43.201;Protocol=UDP;53842 -> 5987 Len=22;8000000011c20000bd00310000000303000000&group=01&switchcmd=On;session=58
Aug 17, 2019 14:27:38.479922000 CEST;Host=192.168.43.201;Dest=192.168.43.202;Protocol=UDP;53842 -> 5987 Len=22;8000000011c20000bd00310000000303000000&group=01&switchcmd=On;session=58
Aug 17, 2019 14:27:38.510744000 CEST;Host=192.168.43.202;Dest=192.168.43.201;Protocol=UDP;5987 -> 53842 Len=8;88000000&status=0300&03&response=00;session=58
Aug 17, 2019 14:27:38.510744000 CEST;Host=192.168.43.201;Dest=192.168.43.76;Protocol=UDP;5987 -> 53842 Len=8;88000000&status=0300&03&response=00;session=58
Aug 17, 2019 14:27:38.581545000 CEST;Host=192.168.43.76;Dest=192.168.43.201;Protocol=UDP;53842 -> 5987 Len=27;link=200000001602623ad5eda301ae082d466141a7f6dcafd3e600001e;session=59
Aug 17, 2019 14:27:38.607755000 CEST;Host=192.168.43.201;Dest=192.168.43.76;Protocol=UDP;5987 -> 53842 Len=22;response=28000000110002f0fe6be762003da6e58c0001170000;session=59
Aug 17, 2019 14:27:38.719664000 CEST;Host=192.168.43.76;Dest=192.168.43.201;Protocol=UDP;53842 -> 5987 Len=22;8000000011170000bd00310000000303000000&group=01&switchcmd=On;session=60
Aug 17, 2019 14:27:38.719664000 CEST;Host=192.168.43.201;Dest=192.168.43.202;Protocol=UDP;53842 -> 5987 Len=22;8000000011170000bd00310000000303000000&group=01&switchcmd=On;session=60
Aug 17, 2019 14:27:38.767482000 CEST;Host=192.168.43.202;Dest=192.168.43.201;Protocol=UDP;5987 -> 53842 Len=8;88000000&status=0300&03&response=00;session=60
Aug 17, 2019 14:27:38.767482000 CEST;Host=192.168.43.201;Dest=192.168.43.76;Protocol=UDP;5987 -> 53842 Len=8;88000000&status=0300&03&response=00;session=60
Aug 17, 2019 14:27:38.882226000 CEST;Host=192.168.43.76;Dest=192.168.43.201;Protocol=UDP;53842 -> 5987 Len=22;8000000011170000be003100000001fcfcfcfc&group=01&switchcmd=ChgColor;session=61
Aug 17, 2019 14:27:38.882226000 CEST;Host=192.168.43.201;Dest=192.168.43.202;Protocol=UDP;53842 -> 5987 Len=22;8000000011170000be003100000001fcfcfcfc&group=01&switchcmd=ChgColor;session=61
Aug 17, 2019 14:27:38.922589000 CEST;Host=192.168.43.202;Dest=192.168.43.201;Protocol=UDP;5987 -> 53842 Len=8;88000000&status=0300&03&response=00;session=61
Aug 17, 2019 14:27:38.922589000 CEST;Host=192.168.43.201;Dest=192.168.43.76;Protocol=UDP;5987 -> 53842 Len=8;88000000&status=0300&03&response=00;session=61
