Aug 17, 2019 14:27:39.119439000 CEST;Host=192.168.43.201;Dest=192.168.43.202;Protocol=UDP;53842 -> 5987 Len=22;8000000011170000bf00310000000264000000&group=01&switchcmd=ChgColor;session=62
Aug 17, 2019 14:27:39.164552000 CEST;Host=192.168.43.202;Dest=192.168.43.201;Protocol=UDP;5987 -> 53842 Len=8;88000000&status=0300&03&response=00;session=62
Aug 17, 2019 14:27:39.164552000 CEST;Host=192.168.43.201;Dest=192.168.43.76;Protocol=UDP;5987 -> 53842 Len=8;88000000&status=0300&03&response=00;session=62
Aug 17, 2019 14:27:45.872608000 CEST;Host=192.168.43.101;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=10&switchcmd=On&rssi=10 HTTP/1.1 ;;session=63
Aug 17, 2019 14:27:45.905687000 CEST;Host=192.168.43.76;Dest=192.168.43.101;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=63
Aug 17, 2019 14:27:48.479100000 CEST;Host=192.168.43.101;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=10&switchcmd=Off&rssi=10 HTTP/1.1 ;;session=64
Aug 17, 2019 14:27:48.515521000 CEST;Host=192.168.43.76;Dest=192.168.43.101;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=64
Aug 17, 2019 14:27:55.737090000 CEST;Host=192.168.43.102;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=2&switchcmd=On&rssi=7 HTTP/1.1 ;;session=65
Aug 17, 2019 14:27:55.771654000 CEST;Host=192.168.43.76;Dest=192.168.43.102;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=65
Aug 17, 2019 14:27:55.782506000 CEST;Host=192.168.43.101;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=10&switchcmd=On&rssi=10 HTTP/1.1 ;;session=66
Aug 17, 2019 14:27:55.809903000 CEST;Host=192.168.43.76;Dest=192.168.43.101;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=66
Aug 17, 2019 14:27:56.068025000 CEST;Host=192.168.43.124;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=11&switchcmd=On&rssi=4 HTTP/1.1 ;;session=67
Aug 17, 2019 14:27:56.205976000 CEST;Host=192.168.43.76;Dest=192.168.43.124;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=67
Aug 17, 2019 14:27:58.276170000 CEST;Host=192.168.43.101;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=10&switchcmd=Off&rssi=10 HTTP/1.1 ;;session=68
Aug 17, 2019 14:27:58.305824000 CEST;Host=192.168.43.76;Dest=192.168.43.101;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=68
Aug 17, 2019 14:27:58.435563000 CEST;Host=192.168.43.102;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=2&switchcmd=Off&rssi=7 HTTP/1.1 ;;session=69
Aug 17, 2019 14:27:58.470324000 CEST;Host=192.168.43.76;Dest=192.168.43.102;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=69
Aug 17, 2019 14:27:58.667244000 CEST;Host=192.168.43.124;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=11&switchcmd=Off&rssi=4 HTTP/1.1 ;;session=70
Aug 17, 2019 14:27:58.699321000 CEST;Host=192.168.43.76;Dest=192.168.43.124;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=70
Aug 17, 2019 14:28:04.475344000 CEST;Host=192.168.43.101;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=10&switchcmd=On&rssi=10 HTTP/1.1 ;;session=71
Aug 17, 2019 14:28:04.510684000 CEST;Host=192.168.43.76;Dest=192.168.43.101;Protocol=HTTP;HTTP/1.1 status=200 response=OK  (type=application/json);;session=71
Aug 17, 2019 14:28:04.632577000 CEST;Host=192.168.43.102;Dest=192.168.43.76;Protocol=HTTP;Verb=GET Uri=/json.htm?type=command&param=switchlight&idx=2&switchcmd=On&rssi=7 HTTP/1.1 ;;session=72
